DrawDate,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Ball 6,Bonus Ball,Ball Set,Machine,Raffles,DrawNumber
03-Dec-2014,17,35,4,37,19,25,7,3,Arthur,"AQUA59916916,AQUA64577708,AQUA82691383,BLUE01249284,BLUE20970596,BLUE29849926,BLUE33331076,GOLD19005517,GOLD50664119,GOLD91803754,GREY40016767,GREY42814235,GREY63546306,GREY92367136,GREY97202972,GREY97470850,JADE25266135,JADE54443188,JADE71799731,JADE95399740,LIME28804441,LIME40719734,LIME54904021,NAVY24327033,NAVY43038024,NAVY47030404,NAVY48258826,NAVY48387827,NAVY66429630,NAVY75475309,NAVY83049743,NAVY96277139,PINK32955283,PINK54063854,PINK87601985,PINK97357703,PLUM16316981,PLUM49385444,PLUM57836117,PLUM59141789,PLUM85193669,ROSE08726016,ROSE41840202,ROSE69564013,ROSE88606212,RUBY21539540,RUBY91814770,TEAL12202556,TEAL68608998,TEAL92244612",1977
29-Nov-2014,11,42,18,19,6,38,17,6,Arthur,"AQUA40689868,AQUA57644040,AQUA73531206,AQUA79245253,AQUA83762900,AQUA99653692,BLUE13182959,BLUE24158170,BLUE47917969,GOLD01144374,GOLD80096785,GOLD86701009,GREY03971820,GREY40700385,GREY42758624,GREY45132810,GREY61943207,GREY69354509,GREY77019291,JADE22800035,JADE67528847,LIME25954356,LIME48833696,LIME61917059,LIME65775653,NAVY35914940,NAVY67856476,NAVY87563084,PINK08861733,PINK09398881,PINK16972569,PINK17294250,PINK27960622,PINK31999874,PINK43783761,PINK44043272,PINK56036949,PINK79086521,PINK80943804,PINK83992070,PLUM74060062,ROSE00322150,ROSE10237682,ROSE74723266,ROSE79960488,ROSE83278051,RUBY07041928,RUBY97000196,TEAL63564612,TEAL74331076",1976
26-Nov-2014,49,41,30,29,28,26,31,1,Merlin,"AQUA09222066,AQUA11443444,AQUA12583389,AQUA33216732,AQUA41763608,AQUA42641929,AQUA66998472,AQUA72032525,AQUA93395365,BLUE39571492,BLUE45316775,BLUE61366945,BLUE81505474,BLUE98919683,GOLD13415847,GOLD60260117,GOLD79616357,GREY13933856,GREY58484498,GREY66681042,GREY73545264,JADE50407840,JADE55773804,JADE95045821,LIME04002500,LIME07680297,LIME12163542,LIME39117414,LIME41185183,LIME48633883,NAVY21669820,NAVY58423502,PINK71021474,PLUM26946048,PLUM31361610,PLUM46608914,PLUM83727440,PLUM96086520,PLUM97077468,ROSE30463397,ROSE60374788,ROSE85799400,RUBY68178840,RUBY68724956,RUBY72508906,RUBY74065748,TEAL09841508,TEAL18643726,TEAL34305623,TEAL89741112",1975
22-Nov-2014,15,5,29,22,3,2,26,8,Merlin,"AQUA44808001,BLUE04214303,BLUE36744717,GOLD12105518,GOLD83335608,GREY08441911,GREY60626976,JADE14204154,LIME29342743,LIME58921632,PINK03715839,PINK65821189,PINK71384892,PINK82296405,PLUM34764968,PLUM42007002,ROSE35383431,ROSE74058601,ROSE91093581,TEAL38616313;AQUA06816497,AQUA24795387,AQUA54258348,AQUA59385445,AQUA74800476,AQUA90929629,BLUE91454926,GOLD14352469,GOLD52974638,GOLD93861209,GREY22985253,GREY31803871,GREY44860145,GREY49078428,GREY62960515,JADE15673315,JADE16149827,JADE21071150,JADE25040037,JADE86400666,LIME20481314,LIME31332740,LIME64898693,LIME90269754,NAVY51024163,NAVY51637517,PINK41768943,PINK53653463,PINK73863106,PINK76139393,PINK80843032,PLUM19278866,PLUM94279483,ROSE46411055,ROSE48475236,ROSE85073875,ROSE95887084,RUBY15458905,RUBY17270448,RUBY19449314,RUBY38792609,RUBY39209334,RUBY67533335,RUBY81600320,TEAL53014479,TEAL53159179,TEAL83258169,TEAL92052347,TEAL97184692,TEAL97698172",1974
19-Nov-2014,2,39,36,35,15,38,4,5,Merlin,"AQUA46513333,AQUA48131811,AQUA49168705,AQUA53764344,AQUA75015980,AQUA89775208,BLUE10712177,BLUE14546499,BLUE28563181,BLUE34873024,GOLD00004319,GOLD03881304,GOLD08506299,GOLD08537440,GOLD11343378,GOLD21301041,GOLD22935879,GOLD25338753,GOLD32644623,GOLD35502558,GOLD45896980,GOLD59342123,GOLD62722441,GOLD90577928,GOLD96456047,GOLD99368609,GREY01249785,GREY02139959,GREY05031334,GREY09595836,GREY47397231,GREY54353927,GREY55977622,GREY59321792,GREY67820420,GREY68089611,GREY81878233,GREY97475369,JADE17887303,JADE51562238,JADE84919218,JADE86359467,JADE89099562,LIME09111247,LIME16562052,LIME31135257,LIME57500420,LIME75037173,LIME85691317,NAVY05208312,NAVY27538548,NAVY27673988,NAVY60043602,NAVY76596962,NAVY96666098,PINK07068397,PINK43216925,PINK44617852,PINK57047164,PINK72557019,PINK94019023,PLUM01748075,PLUM12208909,PLUM12946493,PLUM25019819,PLUM28352184,PLUM38673892,PLUM44487113,PLUM45025963,PLUM53356195,PLUM57234835,PLUM57313782,PLUM74132630,PLUM93926466,ROSE10422142,ROSE11292340,ROSE23544741,ROSE24886197,ROSE49980502,ROSE60961884,ROSE79604566,ROSE89182122,RUBY00357484,RUBY02843163,RUBY05842605,RUBY13015577,RUBY17153469,RUBY20327457,RUBY24954144,RUBY40267847,RUBY44409134,RUBY94690867,TEAL00282091,TEAL35619676,TEAL48600179,TEAL59985045,TEAL80138799,TEAL88694673,TEAL93445116,TEAL99716203",1973
15-Nov-2014,42,30,26,28,5,44,40,6,Arthur,"AQUA01582342,AQUA75016606,AQUA85351016,AQUA93828660,BLUE00795302,BLUE26943054,BLUE52733861,BLUE95958361,GOLD09081046,GOLD27530946,GOLD54132696,GOLD96332630,GREY07621777,GREY12451758,GREY19879169,GREY40296057,GREY51760830,GREY64845335,GREY85475296,JADE22207752,JADE95767401,LIME08567025,LIME19453990,LIME27285542,LIME29101647,LIME68906529,LIME73805592,LIME89659004,NAVY22117022,NAVY54902630,NAVY61192427,PINK17908430,PINK99852924,PLUM02870626,PLUM04458192,PLUM25446727,PLUM27872990,PLUM58347204,PLUM66050011,PLUM85682721,ROSE28597185,ROSE49764054,ROSE57721596,ROSE78430989,ROSE87555512,RUBY48781667,RUBY51139742,TEAL05842462,TEAL31410915,TEAL44144883",1972
12-Nov-2014,9,5,44,41,13,10,39,7,Merlin,"AQUA58765737,AQUA82843869,AQUA87516671,AQUA94348158,BLUE18963828,BLUE65533536,BLUE69519523,BLUE73293529,BLUE80352367,GREY46187470,GREY52949975,GREY62177918,GREY66199509,GREY78555126,JADE21352381,JADE60996262,JADE64453026,JADE73451901,JADE94426531,LIME06891574,LIME15185078,LIME51283537,LIME54953701,NAVY20337600,NAVY61292750,PINK40384820,PINK57561058,PINK57804260,PINK70434277,PINK78204444,PINK85001407,PINK91061796,PINK91317693,PLUM11065743,PLUM16637093,PLUM19871935,PLUM37044170,PLUM73991884,ROSE07499347,ROSE07650937,ROSE17635919,ROSE46385411,ROSE62762587,ROSE63348829,ROSE93783740,RUBY36720487,RUBY51257648,RUBY99741841,TEAL42254783,TEAL60387044",1971
08-Nov-2014,7,22,27,42,6,35,1,5,Guinevere,"AQUA40300003,BLUE11681643,BLUE56506762,BLUE63256429,BLUE70340772,GOLD13292349,GOLD32392461,GOLD63960637,GOLD66269754,GOLD89954571,GOLD98771365,GREY00120049,GREY07410899,GREY10917822,GREY40014013,GREY54279612,GREY61862223,GREY71395666,GREY73468797,GREY99705247,JADE05177291,JADE45233439,JADE47355767,JADE51209186,JADE54218895,JADE57094066,JADE57673300,LIME01406848,LIME35641739,LIME67502111,LIME72148497,LIME72766278,LIME80332993,NAVY09623966,NAVY31006365,NAVY85580051,NAVY97111066,PINK15109713,PINK40171129,PLUM55506154,PLUM58468725,ROSE26531550,ROSE43934301,ROSE80219744,RUBY22232804,RUBY71803785,RUBY74896960,TEAL06485624,TEAL22258783,TEAL28243135",1970
05-Nov-2014,21,25,34,5,36,2,28,8,Guinevere,"AQUA01652996,AQUA31557254,AQUA60986376,AQUA67031119,AQUA87465277,BLUE13888216,BLUE54975662,BLUE55170367,BLUE78360180,BLUE78402250,BLUE86232599,GOLD01876409,GOLD05489724,GOLD46534083,GOLD51756977,GOLD59054092,GOLD82235108,GOLD94927862,GREY04402641,GREY08700791,GREY15461702,GREY32345770,GREY59431774,GREY82835530,GREY90550243,JADE14281727,JADE34807265,JADE37944891,JADE47757793,LIME68860562,LIME88915196,NAVY11081518,NAVY36173835,NAVY37518595,NAVY69462996,PINK37450730,PINK46361632,PLUM96687255,ROSE06755099,ROSE30087784,ROSE39302523,ROSE73897024,RUBY23519154,RUBY42505703,RUBY67709722,TEAL70990950,TEAL75580171,TEAL76615066,TEAL80716255,TEAL93864243",1969
01-Nov-2014,35,3,9,47,28,5,14,7,Lancelot,"AQUA09219314,AQUA17693571,AQUA21936065,AQUA51459751,AQUA52344004,AQUA52999222,AQUA54865780,AQUA76258648,AQUA76571124,AQUA77228177,AQUA78917335,AQUA80573419,AQUA98146233,BLUE06472838,BLUE09942977,BLUE15259237,BLUE17533719,BLUE17757227,BLUE34802422,BLUE43981845,BLUE47725237,BLUE49574380,BLUE59281232,BLUE63831968,BLUE63980499,BLUE64002073,BLUE73442868,BLUE96574644,BLUE97028987,GOLD01121635,GOLD05237095,GOLD13984520,GOLD17274600,GOLD33989138,GOLD35959641,GOLD40890591,GOLD49981931,GOLD52868393,GOLD61478436,GOLD63299036,GOLD66998063,GOLD92271470,GOLD93342758,GOLD95477738,GOLD95985141,GREY23229625,GREY26637317,GREY27217612,GREY35431978,GREY35671768,GREY37736831,GREY43015639,GREY74665789,GREY81192523,GREY89766572,GREY95454723,GREY97700297,JADE15707130,JADE19971349,JADE28303313,JADE39551896,JADE41413445,JADE42303743,JADE47779486,JADE63375557,JADE67282487,JADE67812387,JADE69105257,JADE80455761,JADE85697054,JADE95347478,LIME03181293,LIME06905336,LIME10195366,LIME19976776,LIME21960491,LIME24004664,LIME34251237,LIME34461566,LIME40438717,LIME74833755,LIME83220282,LIME90080346,LIME92034168,LIME93761992,LIME96465726,LIME96659920,NAVY01435544,NAVY03975055,NAVY04181445,NAVY05059262,NAVY07876686,NAVY21451443,NAVY25302561,NAVY38074833,NAVY45768445,NAVY49014816,NAVY55159902,NAVY74598501,NAVY81598991,NAVY91209610,PINK03459982,PINK06788420,PINK10784046,PINK21716181,PINK23084585,PINK33216456,PINK33779761,PINK35721071,PINK38538660,PINK39750496,PINK44914746,PINK50052249,PINK60434081,PINK61515679,PINK76931916,PINK96139255,PLUM09150512,PLUM18155778,PLUM20955683,PLUM23921227,PLUM25030699,PLUM27457622,PLUM33911276,PLUM34216445,PLUM48399936,PLUM56204673,PLUM67041814,PLUM75738594,PLUM79751046,PLUM79888633,ROSE07092127,ROSE16323888,ROSE24025891,ROSE25296312,ROSE26441609,ROSE26558009,ROSE26854395,ROSE37220720,ROSE43815481,ROSE45300223,ROSE49504354,ROSE72817902,ROSE76313789,ROSE82044755,ROSE86714160,ROSE88126553,ROSE91578416,ROSE94470169,RUBY01167031,RUBY05776456,RUBY06952532,RUBY13021741,RUBY15667760,RUBY18025612,RUBY19438934,RUBY21818071,RUBY27686991,RUBY29080064,RUBY31907488,RUBY33611412,RUBY34281292,RUBY36759164,RUBY39268803,RUBY46924003,RUBY52738590,RUBY65131871,RUBY81460945,RUBY85691466,RUBY86980769,RUBY95270753,RUBY96207311,RUBY96510851,RUBY99685053,TEAL04278884,TEAL13940200,TEAL14861985,TEAL16862246,TEAL19028192,TEAL20455623,TEAL23105100,TEAL23809517,TEAL27486563,TEAL29644357,TEAL32608716,TEAL39435409,TEAL40942341,TEAL43767229,TEAL44856430,TEAL52231301,TEAL60144187,TEAL63302491,TEAL71236658,TEAL71864926,TEAL77093208,TEAL77141725,TEAL82090405,TEAL90816041,TEAL99549727,TEAL99693527",1968
